stop_id,stop_name,stop_lat,stop_lon
"8250DB003226","Kilbogget Park, stop 3226","53.2585470715912","-6.13777355798243"
"8250DB003227","Auburn Drive, stop 3227","53.2619541741584","-6.13780539377764"
"8250DB003228","Church Road, stop 3228","53.2647542453765","-6.13465539470502"
"8250DB003229","Churchview Road, stop 3229","53.2653527759427","-6.13441945272899"
"8250DB007644","Sallyglen Road, stop 7644","53.2676424809739","-6.13484449848458"
"8250DB007645","Park Close, stop 7645","53.275100347506","-6.1346847150918"
"8250DB007646","Glenageary Avenue, stop 7646","53.2790894968991","-6.13572570551517"
"8250DB003238","Holmston Avenue, stop 3238","53.283309733396","-6.13372719850771"
"8250DB003239","Crosthwaite Park, stop 3239","53.2843864951823","-6.13303533097992"
"8250DB003240","Corrig Road, stop 3240","53.2871718711238","-6.13124892862004"
"8250DB003068","George's St Upper, stop 3068","53.2898294885121","-6.13048790165208"
"8250DB003069","Corrig Avenue, stop 3069","53.2907530253444","-6.13263768269568"
"8250DB003070","Dun Laoghaire SC, stop 3070","53.2921151004321","-6.13581853383444"
"8250DB002041","St Michael's Hosp, stop 2041","53.2935976049862","-6.13923437692796"
"8250DB003071","De Vesci Park, stop 3071","53.2949847179943","-6.14518996894824"
"8250DB003072","Grosvenor Terrace, stop 3072","53.2941852190007","-6.14869006112065"
"8250DB003073","Monkstown Road, stop 3073","53.2937825861192","-6.1551882458193"
"8250DB003074","Drayton Close, stop 3074","53.2944930303395","-6.15928318174833"
"8250DB003075","Queen's Park, stop 3075","53.2948803787225","-6.16225195149105"
"8250DB003076","Montpellier Parade, stop 3076","53.2954328088593","-6.16602382283996"
"8250DB003077","Montpellier Manor, stop 3077","53.2959197205688","-6.16846336894464"
"8250DB003084","Frascati SC, stop 3084","53.3013812515137","-6.18116341196197"
"8250DB000469","Rock Road, stop 469","53.3028457292126","-6.18407213264847"
"8250DB000470","Blackrock Clinic, stop 470","53.3056258500263","-6.18898110376377"
"8250DB000471","Blackrock College, stop 471","53.3068708073446","-6.19105929913705"
"8250DB000472","Booterstown Station, stop 472","53.3078820347442","-6.19491826731321"
"8250DB000473","Grotto Avenue, stop 473","53.3092405753985","-6.19738213927117"
